job_title,company,job_location,first_seen,search_city,search_country,search_position,job_level,job_type,year,month,month_name,country
Data Scientist,Itech Solutions,"San Jose, CA",2024-01-16,Livermore,United States,Geophysicist,Mid-Senior,Onsite,2024,1,January,United States
Principal Technical Data Analyst,Intuit,"Mountain View, CA",2024-01-15,San Jose,United States,Actuary,Mid-Senior,Onsite,2024,1,January,United States
"Canvas Consultant (Member Service Specialist) - Littleton, Nmls",Canvas Credit Union,"Littleton, CO",2024-01-14,Colorado,United States,Consultant Education,Associate,Onsite,2024,1,January,United States
"Manager, Data - Corrugated Products",Westrock Company,"Atlanta, GA",2024-01-17,Atlanta,United States,Supervisor Mapping,Mid-Senior,Onsite,2024,1,January,United States
Data Scientist,Anika Systems,"Leesburg, VA",2024-01-14,Charles Town,United States,Agricultural-Research Engineer,Mid-Senior,Onsite,2024,1,January,United States
"Sr. Ml Software Engineer, Ai Platform",Rivian,"Palo Alto, CA",2024-01-17,San Leandro,United States,Tool Grinder Ii,Mid-Senior,Onsite,2024,1,January,United States
Data Entry Specialist,Fōcus - An Ōnin Group Company,"Louisville, KY",2024-01-14,New Albany,United States,Scanner,Associate,Onsite,2024,1,January,United States
Manager Of Supply Chain Data Analytics,Canada Goose,"Toronto, Ontario, Canada",2024-01-14,Etobicoke,Canada,Supervisor,Associate,Onsite,2024,1,January,Canada
Data Engineer Etl Expert (2021-0140),Acclaim Technical Services,"Chantilly, VA",2024-01-17,Silver Spring,United States,Tool-And-Die Supervisor,Mid-Senior,Onsite,2024,1,January,United States
Lead Data Engineer (Finops),Jobs For Humanity,"Harrisonburg, VA",2024-01-14,Plains,United States,Agricultural-Research Engineer,Mid-Senior,Onsite,2024,1,January,United States
Data Center Engineer,Datacenter People,"Manassas, VA",2024-01-14,West Springfield,United States,Computer Operator,Mid-Senior,Onsite,2024,1,January,United States
Principal Clinical Data Scientist - Focus On Statistics,Boehringer Ingelheim,"Ridgefield, CT",2024-01-14,New Milford,United States,Principal,Mid-Senior,Onsite,2024,1,January,United States
Senior Data Engineering Advisor,Oil And Gas Job Search Ltd,"Calgary, Alberta, Canada",2024-01-14,Calgary,Canada,Solutions Operator,Mid-Senior,Onsite,2024,1,January,Canada
Environmental Data Management Specialist,Tetra Tech,"Lafayette, CA",2024-01-16,San Rafael,United States,Environmental Analyst,Mid-Senior,Onsite,2024,1,January,United States
Senior Database Developer,Aperia,"Alpharetta, GA",2024-01-14,Smyrna,United States,Data Base Administrator,Mid-Senior,Onsite,2024,1,January,United States
Medical Lab Scientist (Mls),Mclaren Health Care,"Flint, MI",2024-01-14,Flushing,United States,Biologist,Mid-Senior,Onsite,2024,1,January,United States
Senior Business Data Analyst,Jobs For Humanity,"Camden, NJ",2024-01-16,Winslow,United States,Mathematician,Mid-Senior,Onsite,2024,1,January,United States
"Staff Machine Learning Engineer, Series A",Recruiting From Scratch,"Austin, TX",2024-01-16,Austin,United States,Programmer Engineering And Scientific,Mid-Senior,Onsite,2024,1,January,United States
Medical Technologist Mt Or Mlt,Oculus Search Partners Llc,"Columbus, OH",2024-01-12,Columbus,United States,Biologist,Mid-Senior,Onsite,2024,1,January,United States
Data Scientist,Keylent Inc,"Roswell, GA",2024-01-12,Georgia,United States,Biologist,Mid-Senior,Onsite,2024,1,January,United States
Data Scientist With Al & Ml,Saransh Inc,"Los Angeles, CA",2024-01-12,Malibu,United States,Biologist,Mid-Senior,Onsite,2024,1,January,United States
Sr.Data Center Engineer,Dice,"Denver, CO",2024-01-17,Colorado,United States,Treating Engineer,Mid-Senior,Onsite,2024,1,January,United States
Senior Bsa/Aml Records Specialist,Nbt Bank,"Lakeville, CT",2024-01-14,Great Barrington,United States,Record Clerk,Mid-Senior,Onsite,2024,1,January,United States
Data Center Technician Ii,"Idr, Inc.","Tacoma, WA",2024-01-12,Summit,United States,Assembler,Mid-Senior,Onsite,2024,1,January,United States
Python Data Engineer,"Logic20/20, Inc.","Denver, CO",2024-01-13,Aurora,United States,Computer Programmer,Mid-Senior,Onsite,2024,1,January,United States
Data Control Clerk Ii,University Of Rochester,"Medicine, NE",2024-01-13,Nebraska,United States,Clerk General,Mid-Senior,Onsite,2024,1,January,United States
Aws Data Engineer,Lti - Larsen & Toubro Infotech,"Hartford, CT",2024-01-13,New Britain,United States,Computer Programmer,Mid-Senior,Onsite,2024,1,January,United States
Datacentre Technician,Mfa Talent Services,"London, England, United Kingdom",2024-01-12,Greater London,United Kingdom,Assembler,Associate,Onsite,2024,1,January,United Kingdom
Senior Data Scientist,Adobe,"San Francisco, CA",2024-01-16,Berkeley,United States,Mathematician,Mid-Senior,Onsite,2024,1,January,United States
Traveling Mep Manager - Msg - Data Centers,Turner Construction Company,"Detroit, MI",2024-01-16,Wyandotte,United States,Mechanical-Design Engineer Facilities,Mid-Senior,Onsite,2024,1,January,United States
Lead Data Scientist,Clickjobs.Io,"Montreal, Quebec, Canada",2024-01-15,Laval,Canada,Biochemist,Mid-Senior,Onsite,2024,1,January,Canada
Data Engineer - Mastery,Jobs For Humanity,"Hartford, CT",2024-01-12,New Britain,United States,Agricultural-Research Engineer,Mid-Senior,Onsite,2024,1,January,United States
Data Engineer,Outdefine,"Plano, TX",2024-01-13,Garland,United States,Maintenance Data Analyst,Mid-Senior,Onsite,2024,1,January,United States
Data Engineer/Analyst,Squad Techlab,"Fremont, CA",2024-01-13,Santa Clara,United States,Data Entry Clerk,Associate,Onsite,2024,1,January,United States
Staff Data Engineer,Sipe Education,"San Francisco, CA",2024-01-13,Novato,United States,Data Base Administrator,Mid-Senior,Onsite,2024,1,January,United States
"Data Reporting And Analytics Consultant Ii / Biostatistician, Epidemiologic Research",Kaiser Permanente,"Pasadena, CA",2024-01-13,Pasadena,United States,Data Communications Analyst,Mid-Senior,Onsite,2024,1,January,United States
"Manager, Data Analyst",Kpmg Us,"Orlando, FL",2024-01-13,Avondale,United States,Data Communications Analyst,Mid-Senior,Onsite,2024,1,January,United States
Data Analyst,"Aver, Llc","Washington, DC",2024-01-13,Lawton,United States,Data Communications Analyst,Mid-Senior,Onsite,2024,1,January,United States
Senior Data Analyst,Level 11,"Chesterfield, England, United Kingdom",2024-01-13,Mansfield,United Kingdom,Data Entry Clerk,Mid-Senior,Onsite,2024,1,January,United Kingdom
Data And Reporting Analyst,Talent,"Melbourne, Victoria, Australia",2024-01-13,Victoria,Australia,Data Entry Clerk,Mid-Senior,Onsite,2024,1,January,Other
"Data Analyst, Privacy - Kiewit Technology Group",Kiewit,"Omaha, NE",2024-01-13,Nebraska,United States,Data Communications Analyst,Mid-Senior,Onsite,2024,1,January,United States
